Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 22:41:24+00:00,1554235878704381954,Motorista e cobrador aqui no busão defendendo o @ptbrasil e o @LulaOficial numa discussão com um passageiro,Lula,motorista e cobrador aqui no busão defendendo o  e o  numa discussão com um passageiro
2022-08-01 22:41:22+00:00,1554235872454873089,@dominguesRobert @Damadeferroofic Miliciano? As fotos foram feitas pelas palavras do Lula https://t.co/reQcffWxlN,Lula,  miliciano? as fotos foram feitas pelas palavras do lula 
2022-08-01 22:41:22+00:00,1554235871905386496,@LulaOficial @ricardostuckert #LulaNuncaMais #LulaVergonhaDoBrasil,Lula,   
2022-08-01 22:41:22+00:00,1554235871846621187,Boa noite. A memória. E @LulaOficial presidente no futuro. Postagem do YouTube por @demori . https://t.co/v7veZVvLQd,Lula,boa noite. a memória. e  presidente no futuro. postagem do youtube por  . 
2022-08-01 22:41:22+00:00,1554235871452332036,"@WilsonPrattis Na verdade o próprio @LulaOficial pede que não façamos nada, pois esse pessoal não é brincadeira, são agressivos e vão partir pra agressão ao supremo ou até mesmo a pessoas. Não adianta confronto. Deixa eles mesmos darem um tiro no pé.",Lula," na verdade o próprio  pede que não façamos nada, pois esse pessoal não é brincadeira, são agressivos e vão partir pra agressão ao supremo ou até mesmo a pessoas. não adianta confronto. deixa eles mesmos darem um tiro no pé."
2022-08-01 22:41:21+00:00,1554235866612375552,@BlogdoNoblat Lula,Lula, lula
2022-08-01 22:41:21+00:00,1554235866205372416,"@ManuelaDavila Princesa @ManuelaDavila, não desista! Você é uma esperança para o Brasil se reencontrar com os direitos humanos, educação, igualdade social, prosperidade econômica e apoio a todos os projetos do governo Lula 🤩🤩🤩",Lula," princesa  não desista! você é uma esperança para o brasil se reencontrar com os direitos humanos, educação, igualdade social, prosperidade econômica e apoio a todos os projetos do governo lula 🤩🤩🤩"
2022-08-01 22:41:20+00:00,1554235860920451073,@LulaOficial @ricardostuckert Truco🤡,Lula,  truco🤡
2022-08-01 22:41:19+00:00,1554235857871290369,@LulaOficial @ricardostuckert Se tinha tanta gente assim por que não teve imagens abertas e do alto para mostrar? Só vi imagem próxima ao palanque fechadas 🤡😂🤡😂🤡😂🤡😂,Lula,  se tinha tanta gente assim por que não teve imagens abertas e do alto para mostrar? só vi imagem próxima ao palanque fechadas 🤡😂🤡😂🤡😂🤡😂
2022-08-01 22:41:18+00:00,1554235854012534802,"@ThiagoResiste QUEM NÃO GOSTA D TRABALHAR, ESTUDAR, SÃO OS PETRALHAS. SÓ OLHAR O HISTÓRICO DO CHEFE-MOR, LULA. UM HOMEM Q MESMO DEPOIS Q TINHA CONDIÇÕES NÃO VOLTOU AOS BANCOS D UMA ESCOLA. NASCEU POBRE? SIM, MAS DEPOIS TEVE OPORTUNIDADE DE ESTUDAR E NÃO O FEZ.",Lula," quem não gosta d trabalhar, estudar, são os petralhas. só olhar o histórico do chefe-mor, lula. um homem q mesmo depois q tinha condições não voltou aos bancos d uma escola. nasceu pobre? sim, mas depois teve oportunidade de estudar e não o fez."
2022-08-01 22:41:17+00:00,1554235850455752710,"@FranGissoni @TchauBozonaro @dwisysix mas até então ele não roubou nada, o lula quando roubou o Brasil também deixou o Brasil na merda e pra crlh, mas enfim, odeio os dois e não gosto de política",Lula,"   mas até então ele não roubou nada, o lula quando roubou o brasil também deixou o brasil na merda e pra crlh, mas enfim, odeio os dois e não gosto de política"
2022-08-01 22:41:15+00:00,1554235839282044928,"🌹🤝Ciro reage no Ceará e o candidato do PDT, Roberto Cláudio, terá apoio de Tasso:

Senador tucano era cortejado por Lula, que tentou levar PSDB para palanque petista no estado.

https://t.co/2CyEMglVIA",Lula,"🌹🤝ciro reage no ceará e o candidato do pdt, roberto cláudio, terá apoio de tasso:senador tucano era cortejado por lula, que tentou levar psdb para palanque petista no estado."
2022-08-01 22:41:14+00:00,1554235836069289984,@LulaOficial Lula ladrãoooooooo teu lugar é na prisão.,Lula, lula ladrãoooooooo teu lugar é na prisão.
2022-08-01 22:41:12+00:00,1554235828204879873,"@diegoguelar Historia de la corrupción judicial instalada por el macrismo. A Moro no le duró mucho la patraña que le armaron a Lula, espero que acá cuando toda la mugre salga a la luz tengamos el segundo Nunca Más.",Lula," historia de la corrupción judicial instalada por el macrismo. a moro no le duró mucho la patraña que le armaron a lula, espero que acá cuando toda la mugre salga a la luz tengamos el segundo nunca más."
2022-08-01 22:41:10+00:00,1554235821187899394,@colombopcb Filhotes de Lula não ficam presos...,Lula, filhotes de lula não ficam presos...
2022-08-01 22:41:10+00:00,1554235820084805632,@LulaOficial https://t.co/WbqsGCt6v7,Lula, 
2022-08-01 22:41:10+00:00,1554235818843193347,@felipeneto De você e raça do Lula https://t.co/CcyKTFkdkT,Lula, de você e raça do lula 
2022-08-01 22:41:09+00:00,1554235816775487488,@cirogomes Ciro e lula briga de lixos https://t.co/GJl8viqbyD,Lula, ciro e lula briga de lixos 
2022-08-01 22:41:08+00:00,1554235812694335494,"@LetciaF26018389 @RoLuchsinger Fique tranquila, se o Lula for eleito ele leva um pai-de-santo para “benzer” o palácio, aí eu quero o que tu vai dizer.",Lula,"  fique tranquila, se o lula for eleito ele leva um pai-de-santo para “benzer” o palácio, aí eu quero o que tu vai dizer."
2022-08-01 22:41:07+00:00,1554235806914678785,@brega_falcao Lula presidente,Lula, lula presidente
